,Con/Instl EF,O&M EF,Year
"25.52,-80.76,S",7.268,0.29960666164532596,2020
"26.02,-97.26,S",3.897777777777778,0.1809287676740602,2020
"26.02,-81.26,S",7.268,0.29960666164532596,2020
"26.02,-80.76,S",7.268,0.29960666164532596,2020
"26.02,-80.26,S",7.268,0.29960666164532596,2020
"26.52,-98.76,S",3.897777777777778,0.1809287676740602,2020
"26.52,-98.26,S",3.897777777777778,0.1809287676740602,2020
"26.52,-97.76,S",3.897777777777778,0.1809287676740602,2020
"26.52,-97.26,S",3.897777777777778,0.1809287676740602,2020
"26.52,-81.76,S",7.268,0.29960666164532596,2020
"26.52,-81.26,S",7.268,0.29960666164532596,2020
"26.52,-80.76,S",7.268,0.29960666164532596,2020
"26.52,-80.26,S",7.268,0.29960666164532596,2020
"27.02,-99.26,S",3.897777777777778,0.1809287676740602,2020
"27.02,-98.76,S",3.897777777777778,0.1809287676740602,2020
"27.02,-98.26,S",3.897777777777778,0.1809287676740602,2020
"27.02,-97.76,S",3.897777777777778,0.1809287676740602,2020
"27.02,-82.26,S",7.268,0.29960666164532596,2020
"27.02,-81.76,S",7.268,0.29960666164532596,2020
"27.02,-81.26,S",7.268,0.29960666164532596,2020
"27.02,-80.26,S",7.268,0.29960666164532596,2020
"27.52,-99.26,S",3.897777777777778,0.1809287676740602,2020
"27.52,-98.76,S",3.897777777777778,0.1809287676740602,2020
"27.52,-98.26,S",3.897777777777778,0.1809287676740602,2020
"27.52,-97.76,S",3.897777777777778,0.1809287676740602,2020
"27.52,-97.26,S",3.897777777777778,0.1809287676740602,2020
"27.52,-82.26,S",7.268,0.29960666164532596,2020
"27.52,-81.76,S",7.268,0.29960666164532596,2020
"27.52,-81.26,S",7.268,0.29960666164532596,2020
"27.52,-80.76,S",7.268,0.29960666164532596,2020
"28.02,-99.76,S",3.897777777777778,0.1809287676740602,2020
"28.02,-99.26,S",3.897777777777778,0.1809287676740602,2020
"28.02,-98.76,S",3.897777777777778,0.1809287676740602,2020
"28.02,-98.26,S",3.897777777777778,0.1809287676740602,2020
"28.02,-97.76,S",3.897777777777778,0.1809287676740602,2020
"28.02,-97.26,S",3.897777777777778,0.1809287676740602,2020
"28.02,-82.76,S",7.268,0.29960666164532596,2020
"28.02,-82.26,S",7.268,0.29960666164532596,2020
"28.02,-81.76,S",7.268,0.29960666164532596,2020
"28.02,-81.26,S",7.268,0.29960666164532596,2020
"28.02,-80.76,S",7.268,0.29960666164532596,2020
"28.52,-100.26,S",3.897777777777778,0.1809287676740602,2020
"28.52,-99.26,S",3.897777777777778,0.1809287676740602,2020
"28.52,-98.76,S",3.897777777777778,0.1809287676740602,2020
"28.52,-98.26,S",3.897777777777778,0.1809287676740602,2020
"28.52,-97.76,S",3.897777777777778,0.1809287676740602,2020
"28.52,-97.26,S",3.897777777777778,0.1809287676740602,2020
"28.52,-96.76,S",3.897777777777778,0.1809287676740602,2020
"28.52,-82.26,S",7.268,0.29960666164532596,2020
"28.52,-81.76,S",7.268,0.29960666164532596,2020
"28.52,-81.26,S",7.268,0.29960666164532596,2020
"29.02,-103.26,S",3.897777777777778,0.1809287676740602,2020
"29.02,-100.26,S",3.897777777777778,0.1809287676740602,2020
"29.02,-99.76,S",3.897777777777778,0.1809287676740602,2020
"29.02,-99.26,S",3.897777777777778,0.1809287676740602,2020
"29.02,-98.76,S",3.897777777777778,0.1809287676740602,2020
"29.02,-98.26,S",3.897777777777778,0.1809287676740602,2020
"29.02,-97.76,S",3.897777777777778,0.1809287676740602,2020
"29.02,-97.26,S",3.897777777777778,0.1809287676740602,2020
"29.02,-96.76,S",3.897777777777778,0.1809287676740602,2020
"29.02,-96.26,S",3.897777777777778,0.1809287676740602,2020
"29.02,-95.76,S",3.897777777777778,0.1809287676740602,2020
"29.02,-95.26,S",3.897777777777778,0.1809287676740602,2020
"29.02,-82.26,S",7.268,0.29960666164532596,2020
"29.02,-81.76,S",7.268,0.29960666164532596,2020
"29.02,-81.26,S",7.268,0.29960666164532596,2020
"29.52,-104.26,S",3.897777777777778,0.1809287676740602,2020
"29.52,-103.76,S",3.897777777777778,0.1809287676740602,2020
"29.52,-103.26,S",3.897777777777778,0.1809287676740602,2020
"29.52,-100.76,S",3.897777777777778,0.1809287676740602,2020
"29.52,-100.26,S",3.897777777777778,0.1809287676740602,2020
"29.52,-99.76,S",3.897777777777778,0.1809287676740602,2020
"29.52,-99.26,S",3.897777777777778,0.1809287676740602,2020
"29.52,-98.76,S",3.897777777777778,0.1809287676740602,2020
"29.52,-98.26,S",3.897777777777778,0.1809287676740602,2020
"29.52,-97.76,S",3.897777777777778,0.1809287676740602,2020
"29.52,-97.26,S",3.897777777777778,0.1809287676740602,2020
"29.52,-96.76,S",3.897777777777778,0.1809287676740602,2020
"29.52,-96.26,S",3.897777777777778,0.1809287676740602,2020
"29.52,-95.76,S",3.897777777777778,0.1809287676740602,2020
"29.52,-95.26,S",3.897777777777778,0.1809287676740602,2020
"29.52,-91.26,S",316.75,1.5924170616113744,2020
"29.52,-90.76,S",316.75,1.5924170616113744,2020
"29.52,-90.26,S",316.75,1.5924170616113744,2020
"29.52,-89.76,S",316.75,1.5924170616113744,2020
"29.52,-83.26,S",7.268,0.29960666164532596,2020
"29.52,-82.76,S",7.268,0.29960666164532596,2020
"29.52,-82.26,S",7.268,0.29960666164532596,2020
"29.52,-81.76,S",7.268,0.29960666164532596,2020
"29.52,-81.26,S",7.268,0.29960666164532596,2020
"30.02,-104.26,S",3.897777777777778,0.1809287676740602,2020
"30.02,-103.76,S",3.897777777777778,0.1809287676740602,2020
"30.02,-103.26,S",3.897777777777778,0.1809287676740602,2020
"30.02,-102.76,S",3.897777777777778,0.1809287676740602,2020
"30.02,-102.26,S",3.897777777777778,0.1809287676740602,2020
"30.02,-101.76,S",3.897777777777778,0.1809287676740602,2020
"30.02,-101.26,S",3.897777777777778,0.1809287676740602,2020
"30.02,-100.76,S",3.897777777777778,0.1809287676740602,2020
"30.02,-100.26,S",3.897777777777778,0.1809287676740602,2020
"30.02,-99.76,S",3.897777777777778,0.1809287676740602,2020
"30.02,-99.26,S",3.897777777777778,0.1809287676740602,2020
"30.02,-98.76,S",3.897777777777778,0.1809287676740602,2020
"30.02,-98.26,S",3.897777777777778,0.1809287676740602,2020
"30.02,-97.76,S",3.897777777777778,0.1809287676740602,2020
"30.02,-97.26,S",3.897777777777778,0.1809287676740602,2020
"30.02,-96.76,S",3.897777777777778,0.1809287676740602,2020
"30.02,-96.26,S",3.897777777777778,0.1809287676740602,2020
"30.02,-95.76,S",3.897777777777778,0.1809287676740602,2020
"30.02,-95.26,S",3.897777777777778,0.1809287676740602,2020
"30.02,-94.76,S",3.897777777777778,0.1809287676740602,2020
"30.02,-94.26,S",3.897777777777778,0.1809287676740602,2020
"30.02,-93.76,S",3.897777777777778,0.1809287676740602,2020
"30.02,-93.26,S",316.75,1.5924170616113744,2020
"30.02,-92.76,S",316.75,1.5924170616113744,2020
"30.02,-92.26,S",316.75,1.5924170616113744,2020
"30.02,-91.76,S",316.75,1.5924170616113744,2020
"30.02,-91.26,S",316.75,1.5924170616113744,2020
